Configure Ads,Configure Ads
there is some error in saving ads settings.,there is some error in saving ads settings.
Something went wrong while editing the pricing.,Something went wrong while editing the pricing.
Edit Item with id %1,Edit Item with id %1
New Pricing,New Pricing
Pricing,Pricing
Manage Pricings,Manage Pricings
Pricing Created.,Pricing Created.
Something went wrong while saving the pricing. %1,Something went wrong while saving the pricing. %1
"this ad position is already max sold out, please book other","this ad position is already max sold out, please book other"
item already added to the cart,item already added to the cart
unable to add product to the cart,unable to add product to the cart
Ad Position,Ad Position
Valid Days,Valid Days
Block,Block
unable to add the product in cart,unable to add the product in cart
successfully disabled,successfully disabled
successfully enabled,successfully enabled
no block provided to delete,no block provided to delete
block(s) with id %1 deleted successfully,block(s) with id %1 deleted successfully
ads block saved,ads block saved
Unable to remove block record with id %1,Unable to remove block record with id %1
home seller ads page top,home seller ads page top
home seller popup ads,home seller popup ads
home seller ads page bottom container,home seller ads page bottom container
Unable to remove pricing record with id %1,Unable to remove pricing record with id %1
"This product cannot be added to your cart, please try from here","This product cannot be added to your cart, please try from here"
This product cannot be added from here,This product cannot be added from here
Edit,Edit
label,label
Valid for,Valid for
Number of ads,Number of ads
Width,Width
Full width,Full width
Custom width in pixels,Custom width in pixels
For with add suffix with px,For with add suffix with px
Height,Height
For height in percent input suffix with % for pixel suffix with px,For height in percent input suffix with % for pixel suffix with px
Disable Ads Demo,Disable Ads Demo
Enable Ads Demo,Enable Ads Demo
Ads Plans,Ads Plans
there is no plans available yet,there is no plans available yet
Price,Price
%1 days,%1 days
Ad Blocks,Ad Blocks
Book,Book
Booked,Booked
"This position has maximum %1 ads, and %2 ads has already been booked","This position has maximum %1 ads, and %2 ads has already been booked"
Block Form,Block Form
Save,Save
Delete,Delete
Title,Title
Content,Content
Ads Blocks,Ads Blocks
Block Title,Block Title
Search by product name,Search by product name
Submit,Submit
Delete Ad Blocks,Delete Ad Blocks
Id,Id
Created At,Created At
Updated At,Updated At
No ad blocks added yet,No ad blocks added yet
this ad is already booked,this ad is already booked
this ad is open to book,this ad is open to book
Ads Block,Ads Block
Advertise,Advertise
price for this position already added,price for this position already added
There is some error in processing,There is some error in processing
Save Ads Settings,Save Ads Settings
Close,Close
settings successfullyt saved,settings successfullyt saved
Disble Ads Demo,Disble Ads Demo
not able to switch status,not able to switch status
Marketplace Ads Positions,Marketplace Ads Positions
Demo Information,Demo Information
back,back
Save And Continue,Save And Continue
Ads Pricing,Ads Pricing
Block Position,Block Position
Add Pricing Plans,Add Pricing Plans
ID,ID
Created,Created
Modified,Modified
